# Annotated with Bakta
# Software: v1.9.4
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
ptg000001l	cds	101	1060	+	IIKNCJ_00005		Replication initiator protein	RefSeq:WP_000043161.1, SO:0001217, UniParc:UPI00000AF5D2, UniRef:UniRef100_A0A1B1UXM7, UniRef:UniRef50_D4FMI7, UniRef:UniRef90_A0A141BHY4
ptg000001l	cds	1179	1853	+	IIKNCJ_00010	tnp	IS6 family IS431mec transposase	COG:COG3316, COG:X, GO:0003677, GO:0006310, GO:0015074, GO:0032196, IS:IS431mec, RefSeq:WP_001105960.1, SO:0001217, UniParc:UPI00000BB825, UniRef:UniRef100_A0A1B1UY17, UniRef:UniRef50_P0C1L0, UniRef:UniRef90_P0C1L0
ptg000001l	cds	2162	5236	+	IIKNCJ_00015	mupA	mupirocin-resistant isoleucine--tRNA ligase MupA	EC:6.1.1.5, GO:0000049, GO:0002161, GO:0004822, GO:0005524, GO:0005737, GO:0006428, GO:0008270, GO:0046677, NCBIProtein:WP_000163435.1, RefSeq:WP_000163435.1, SO:0001217, UniParc:UPI0000696D03, UniRef:UniRef100_A0A1B1UXV2, UniRef:UniRef50_P41368, UniRef:UniRef90_P41368
ptg000001l	cds	5306	5704	+	IIKNCJ_00020		Protein kinase domain-containing protein	RefSeq:WP_000282187.1, SO:0001217, UniParc:UPI0000696D04, UniRef:UniRef100_A0A0H2XKR2, UniRef:UniRef50_D2JBB5, UniRef:UniRef90_A0A0H2XKR2
ptg000001l	cds	5734	6408	+	IIKNCJ_00025	tnp	IS6 family IS257R2 transposase	COG:COG3316, COG:X, GO:0003677, GO:0006310, GO:0015074, GO:0032196, IS:IS257R2, RefSeq:WP_001106019.1, SO:0001217, UniParc:UPI000000016E, UniRef:UniRef100_P14506, UniRef:UniRef50_P0C1L0, UniRef:UniRef90_P0C1L0
ptg000001l	cds	6681	7157	+	IIKNCJ_00030	repL	Replication and maintenance protein	GO:0003677, GO:0006260, GO:0006276, GO:0006355, RefSeq:WP_000664727.1, SO:0001217, UniParc:UPI0000000442, UniRef:UniRef100_P0A0C8, UniRef:UniRef50_P0A0C8, UniRef:UniRef90_P0A0C8
ptg000001l	cds	7865	8599	+	IIKNCJ_00035	erm(C)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	COG:COG0030, COG:J, EC:2.1.1.184, GO:0000179, GO:0003723, GO:0046677, GO:0052910, NCBIProtein:WP_001003260.1, RefSeq:WP_001003260.1, SO:0001217, UniParc:UPI0000696D05, UniRef:UniRef100_G8EWE1, UniRef:UniRef50_P13956, UniRef:UniRef90_P13956
ptg000001l	cds	8896	9570	+	IIKNCJ_00040	tnp	IS6 family IS257R2 transposase	COG:COG3316, COG:X, GO:0003677, GO:0006310, GO:0015074, GO:0032196, IS:IS257R2, RefSeq:WP_001106019.1, SO:0001217, UniParc:UPI000000016E, UniRef:UniRef100_P14506, UniRef:UniRef50_P0C1L0, UniRef:UniRef90_P0C1L0
ptg000001l	cds	9679	9867	-	IIKNCJ_00045	mazE	Antitoxin MazE	RefSeq:WP_001063224.1, SO:0001217, UniParc:UPI00000AF129, UniRef:UniRef100_A0A0N9NP77, UniRef:UniRef50_B0FYT5, UniRef:UniRef90_A0A0N9NP77
ptg000001l	cds	10039	11013	+	IIKNCJ_00050	trsA	conjugative transfer protein TrsA	RefSeq:WP_000368849.1, SO:0001217, UniParc:UPI00000BEA6C, UniRef:UniRef100_A0A0N9NBE3, UniRef:UniRef50_A0A7G3L0I2, UniRef:UniRef90_A0A7G3L0I2
ptg000001l	cds	11030	11347	+	IIKNCJ_00055	traB	Conjugal transfer protein traB	RefSeq:WP_000591622.1, SO:0001217, UniParc:UPI00000B20FC, UniRef:UniRef100_A0A1B1UXM4, UniRef:UniRef50_B0FYT7, UniRef:UniRef90_B0FYT7
ptg000001l	cds	11407	11814	+	IIKNCJ_00060	traC	Conjugal transfer protein TraC	RefSeq:WP_000110157.1, SO:0001217, UniParc:UPI00000B32AA, UniRef:UniRef100_A0A0N9NHX4, UniRef:UniRef50_D2KNZ7, UniRef:UniRef90_A0A0N9NHX4
ptg000001l	cds	11801	12484	+	IIKNCJ_00065	traD	TraD	RefSeq:WP_000979860.1, SO:0001217, UniParc:UPI00000B1064, UniRef:UniRef100_A0A0N9MY94, UniRef:UniRef50_A0A0H2XKP3, UniRef:UniRef90_A0A0H2XKP3
ptg000001l	cds	12505	14517	+	IIKNCJ_00070		P-loop-TraG domain-containing protein	RefSeq:WP_000874919.1, SO:0001217, UniParc:UPI00001B5C7C, UniRef:UniRef100_A0A133QPI3, UniRef:UniRef50_A0A133QPI3, UniRef:UniRef90_A0A133QPI3
ptg000001l	cds	14529	15809	+	IIKNCJ_00075	traF	Conjugal transfer protein traF	RefSeq:WP_000702361.1, SO:0001217, UniParc:UPI00000B32E0, UniRef:UniRef100_A0A0N9NJH6, UniRef:UniRef50_A0A418HEU6, UniRef:UniRef90_A0A418HEU6
ptg000001l	cds	15827	16903	+	IIKNCJ_00080	traG	Transfer complex protein TraG	RefSeq:WP_000269385.1, SO:0001217, UniParc:UPI00000B3E56, UniRef:UniRef100_A0A0N9NPU5, UniRef:UniRef50_Q07727, UniRef:UniRef90_A0A0N9NPU5
ptg000001l	cds	16913	17398	+	IIKNCJ_00085	traH	Transfer complex lipoprotein TraH	RefSeq:WP_000735569.1, SO:0001217, UniParc:UPI00000BC2C4, UniRef:UniRef100_A0A0N9N9Y2, UniRef:UniRef50_B0FYU2, UniRef:UniRef90_A0A0N9N9Y2
ptg000001l	cds	17414	19516	+	IIKNCJ_00090	topB	DNA topoisomerase	RefSeq:WP_001094109.1, SO:0001217, UniParc:UPI00000B07B1, UniRef:UniRef100_A0A0N9NJX1, UniRef:UniRef50_A0A0N9NJX1, UniRef:UniRef90_A0A0N9NJX1
ptg000001l	cds	19532	19996	+	IIKNCJ_00095	trsJ	TrsJ	RefSeq:WP_000715273.1, SO:0001217, UniParc:UPI00000B64F1, UniRef:UniRef100_A0A0N7FVR7, UniRef:UniRef50_A0A854CU72, UniRef:UniRef90_B0FYU4
ptg000001l	cds	19993	21633	+	IIKNCJ_00100	trsK	TrsK protein	EC:7.4.2.8, KEGG:K03205, RefSeq:WP_000209436.1, SO:0001217, UniParc:UPI00000B1539, UniRef:UniRef100_A0A1B1UXN4, UniRef:UniRef50_A0A141BHZ4, UniRef:UniRef90_A0A141BHZ4
ptg000001l	cds	21711	22628	+	IIKNCJ_00105	trsL	TrsL	RefSeq:WP_000383804.1, SO:0001217, UniParc:UPI00000AED54, UniRef:UniRef100_A0A0N9NP88, UniRef:UniRef50_B0FYU6, UniRef:UniRef90_B0FYU6
ptg000001l	cds	22645	23037	+	IIKNCJ_00110		Single-stranded DNA-binding protein	RefSeq:WP_000608970.1, SO:0001217, UniParc:UPI00000B8E0C, UniRef:UniRef100_A0A0N9NBF5, UniRef:UniRef50_A0A0D4ZYX4, UniRef:UniRef90_A0A0D4ZYX4
ptg000001l	cds	23094	23261	+	IIKNCJ_00115	traO	TraO	RefSeq:WP_000869301.1, SO:0001217, UniParc:UPI00000AF18A, UniRef:UniRef100_A0A1B1UXM6, UniRef:UniRef50_A0A1B1UXM6, UniRef:UniRef90_A0A1B1UXM6
ptg000001l	cds	23299	23973	+	IIKNCJ_00120	tnp	IS6 family IS431mec transposase	COG:COG3316, COG:X, GO:0003677, GO:0006310, GO:0015074, GO:0032196, IS:IS431mec, RefSeq:WP_001105950.1, SO:0001217, UniParc:UPI0000696D07, UniRef:UniRef100_A0A0H2XJB8, UniRef:UniRef50_P0C1L0, UniRef:UniRef90_P0C1L0
ptg000001l	cds	24103	24717	+	IIKNCJ_00125		N-acetyltransferase domain-containing protein	RefSeq:WP_000527296.1, SO:0001217, UniParc:UPI00000CABB4, UniRef:UniRef100_A0A1B1UXP1, UniRef:UniRef50_E4PYF4, UniRef:UniRef90_E4PYF4
ptg000001l	cds	24786	26057	+	IIKNCJ_00130	tcaA	Membrane-associated protein TcaA	KEGG:K21463, RefSeq:WP_000386736.1, SO:0001217, UniParc:UPI00000AF087, UniRef:UniRef100_A0A1B1UXQ8, UniRef:UniRef50_A0A6H4BRU3, UniRef:UniRef90_A0A6H4BRU3
ptg000001l	cds	26099	26515	-	IIKNCJ_00135		YolD-like family protein	RefSeq:WP_000691761.1, SO:0001217, UniParc:UPI00000CAE1E, UniRef:UniRef100_A0A1B1UXV4, UniRef:UniRef50_Q8VVT9, UniRef:UniRef90_A0A0K0ME16
ptg000001l	cds	26810	27367	+	IIKNCJ_00140		Tn917 resolvase	RefSeq:WP_001273859.1, SO:0001217, UniParc:UPI00000CAC43, UniRef:UniRef100_A0A1B1UXT2, UniRef:UniRef50_D4FMH8, UniRef:UniRef90_A0A1B1UXT2
ptg000001l	cds	27649	28428	+	IIKNCJ_00145		37S ribosomal protein S35, mitochondrial	RefSeq:WP_000454413.1, SO:0001217, UniParc:UPI00000CAD61, UniRef:UniRef100_A0A1B1UXU1, UniRef:UniRef50_A0A0K0MDQ8, UniRef:UniRef90_A0A0K0MDQ8
ptg000001l	cds	28562	30178	+	IIKNCJ_00150		LPD7 domain-containing protein	RefSeq:WP_001212937.1, SO:0001217, UniParc:UPI00001B5C87, UniRef:UniRef100_A0A1B1UXR9, UniRef:UniRef50_A0A141BHX9, UniRef:UniRef90_A0A141BHX9
